id,name,sex,influence,age,position,type,industry,country,source1,source2
KfW IPEX-Bank,KfW IPEX-Bank GmbH,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwMi1wYS0zdWEtZnItODE3MTU2&mod=mod796592
OB,Oliver Bellenhaus,2,3,3,1,1,1,VAE,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c0Ny1wYS0zdWEtODA2MzMy&mod=mod796592
RB,Ralf Bose,2,2,3,1,1,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
NK,Naif Kanwan,2,2,NA,2,1,6,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
MK,Martin Kocks,2,2,NA,2,1,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
CO,Christian Orth,2,3,3,1,1,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
MM,Martin Mulzer,2,2,,2,1,5,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNC1wYS0zdWEtZG9ubmVyc3RhZy04MTg1NzQ=&mod=mod796592
WK,Waldemar Kindler,2,5,4,1,1,7,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNC1wYS0zdWEtZG9ubmVyc3RhZy04MTg1NzQ=&mod=mod796592
DB,Dorothee Bär,1,5,3,1,1,5,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNC1wYS0zdWEtZG9ubmVyc3RhZy04MTg1NzQ=&mod=mod796592
CG,Chinesischer Generalkonsulat,NA,5,NA,1,2,5,China,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNC1wYS0zdWEtZG9ubmVyc3RhZy04MTg1NzQ=&mod=mod796592
PB,Polizeibehörden,NA,NA,NA,NA,2,7,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNC1wYS0zdWEtZG9ubmVyc3RhZy04MTg1NzQ=&mod=mod796592
HÜSt,Handelsüberwachungsstelle der Frankfurter Wertpapierbörse,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNi1wYS0zdWEtZG9ubmVyc3RhZy04MjA2NDA=&mod=mod796592
DPR,Deutsche Prüfstelle für Rechnungslegung,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNi1wYS0zdWEtZG9ubmVyc3RhZy04MjA2NDA=&mod=mod796592
SA,Staatsanwaltschaft Niederbayern,NA,NA,NA,NA,2,4,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjEva3cwNi1wYS0zdWEtZnJlaXRhZy04MjA2NDI=&mod=mod796592
APAS,Abschlussprüferaufsichtskommission,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
PwC,PricewaterhouseCoopers,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
Deloitte,Deloitte Wirtschaftsprüfungsgesellschaft,NA,NA,NA,NA,2,2,Germany,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
